Case Reported Date,Temp Max (F),Temp Avg (F),Temp Min (F),Humidity Max,Humidity Avg,Humidity Min,Wind Speed Max (mph),Wind Speed Avg (mph),Wind Speed Min (mph)
2020-04-01,48,42.2,39,76,53,32,15,8.4,3
2020-04-02,57,47.8,39,65,40.3,19,18,10.1,5
2020-04-03,54,45.3,37,87,67.1,37,15,8.4,3
2020-04-04,50,45.8,43,93,86.4,76,9,6.7,0
2020-04-05,52,45.9,41,93,75.3,50,13,6.7,0
2020-04-06,54,43.6,36,81,64.9,41,12,5.5,0
2020-04-07,54,45.6,39,93,69.5,35,16,9.1,0
2020-04-08,57,48,41,93,73.4,44,21,8.6,2
2020-04-09,48,42.8,37,100,77,40,30,13.8,2
2020-04-10,45,38.8,36,70,58.5,43,26,19.6,12
2020-04-11,46,40.2,32,81,59.1,43,24,12.1,2
2020-04-12,50,44.3,39,87,72.6,62,21,9.9,0
2020-04-13,55,48.6,41,100,91.2,57,39,11.4,0
2020-04-14,43,37.6,34,81,65.5,45,29,19.2,8
2020-04-15,41,35.1,30,69,53.4,38,22,12.6,6
2020-04-16,41,35.7,28,70,54.5,39,31,16.3,8
2020-04-17,41,36.9,32,81,64.3,45,20,12,3
2020-04-18,45,39.1,30,86,75.2,66,22,11.1,3
2020-04-19,50,44.2,37,93,78.6,60,24,14.9,2
2020-04-20,41,37.3,32,81,64.2,52,13,8.4,5
2020-04-21,45,38.5,32,93,59.1,39,37,22.2,3
2020-04-22,43,36,30,69,43.9,27,24,16.8,6
2020-04-23,41,36.9,32,70,53.5,38,20,13.5,2
2020-04-24,48,44.8,41,70,39.8,30,21,13.2,2
2020-04-25,52,45.3,36,93,56,16,16,7.9,0
2020-04-26,54,47.1,45,87,63.5,24,24,16.9,8
2020-04-27,52,48.6,43,76,48.9,35,14,8.7,3
2020-04-28,48,45.4,43,81,73.6,62,21,11.5,0
2020-04-29,54,49,45,87,75.2,66,32,20.4,10
2020-04-30,50,48,45,100,98.1,82,26,10.8,3
